distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	distriname	casos
2316	R1-002	15	2.0A	C3	5	7	7	0	0	84.0	0.0	0.0	0	0	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	39828,40094,40153,40492,40632,41628,41688
2316	R1-002	15	2.0DHA	C3	5	2	2	0	0	4.0	0.0	0.0	0	0	0	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40565,40624
2316	R1-002	19	2.0A	C3	5	9	9	0	0	101.0	0.0	0.0	0	0	0	Guadalajara	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38803,39211,40253,41975,41976,41978,41979,41982,41983
2316	R1-002	24	2.0A	C3	5	1	1	0	0	57.0	0.0	0.0	0	0	0	León	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38728
2316	R1-002	27	2.0DHA	C3	5	1	1	0	0	43.0	0.0	0.0	0	0	0	Lugo	UNIÓN FENOSA DISTRIBUCIÓN S.A.	39121
2316	R1-002	28	2.0A	C3	5	37	37	0	0	910.0	0.0	0.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	37505,37516,37764,38309,38391,38612,38706,38724,39125,39126,39136,39156,39268,39300,39703,39742,39766,39815,39821,40073,40082,40104,40224,40230,40531,40574,40615,40616,40925,41007,41008,41039,41695,42076,42327,42343,42423
2316	R1-002	28	2.0DHA	C3	5	1	1	0	0	30.0	0.0	0.0	0	0	0	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38697
2316	R1-002	32	2.0A	C3	5	2	2	0	0	36.0	0.0	0.0	0	0	0	Ourense	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40089,40202
2316	R1-002	36	2.0A	C3	5	2	2	0	0	86.0	0.0	0.0	0	0	0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	37906,39120
2316	R1-002	36	2.0DHA	C3	5	2	2	0	0	59.0	0.0	0.0	0	0	0	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	38739,40953
2316	R1-002	40	2.0A	C3	5	1	1	0	0	16.0	0.0	0.0	0	0	0	Segovia	UNIÓN FENOSA DISTRIBUCIÓN S.A.	41131
2316	R1-002	45	2.0A	C3	5	1	1	0	0	8.0	0.0	0.0	0	0	0	Toledo	UNIÓN FENOSA DISTRIBUCIÓN S.A.	42115
